Time , Heart Rate BPM , Insulin Level mIU/L
13:35 , 85 , 81
13:40 , 88 , 79
13:45 , 85 , 77
13:50 , 84 , 74
13:55 , 84 , 77
14:00 , 81 , 80
14:05 , 84 , 83
14:10 , 83 , 83
14:15 , 82 , 86
14:20 , 84 , 88
14:25 , 84 , 86
14:30 , 87 , 89
14:35 , 87 , 88
14:40 , 85 , 87
14:45 , 84 , 87
14:50 , 86 , 87
14:55 , 88 , 89
15:00 , 86 , 92
15:05 , 85 , 91
15:10 , 87 , 91
15:15 , 90 , 93
15:20 , 92 , 94
15:25 , 93 , 92
15:30 , 96 , 92
15:35 , 99 , 94
15:40 , 100 , 95
15:45 , 100 , 97
15:50 , 98 , 97
15:55 , 98 , 100
16:00 , 96 , 99
16:05 , 93 , 100
16:10 , 92 , 102
16:15 , 95 , 101
16:20 , 94 , 104
16:25 , 95 , 103
16:30 , 95 , 101
16:35 , 96 , 104
16:40 , 98 , 107
16:45 , 96 , 106
16:50 , 97 , 106
16:55 , 95 , 105
17:00 , 96 , 108
17:05 , 93 , 111
17:10 , 95 , 114
17:15 , 92 , 112
17:20 , 89 , 111
17:25 , 87 , 114
17:30 , 89 , 116
17:35 , 88 , 117
17:40 , 88 , 119
17:45 , 90 , 121
17:50 , 90 , 120
17:55 , 91 , 118
18:00 , 88 , 119
18:05 , 87 , 117
18:10 , 87 , 115
18:15 , 89 , 113
18:20 , 91 , 115
18:25 , 92 , 112
18:30 , 95 , 115
18:35 , 96 , 113
18:40 , 95 , 115
18:45 , 97 , 115
18:50 , 99 , 113
18:55 , 97 , 110
19:00 , 99 , 112
19:05 , 97 , 115
19:10 , 96 , 117
19:15 , 93 , 116
19:20 , 96 , 114
19:25 , 95 , 115
19:30 , 98 , 117
19:35 , 97 , 114
19:40 , 99 , 112
19:45 , 98 , 111
19:50 , 97 , 113
19:55 , 95 , 110
20:00 , 98 , 110
20:05 , 97 , 109
20:10 , 100 , 112
20:15 , 98 , 111
20:20 , 100 , 112
20:25 , 100 , 110
20:30 , 101 , 112
20:35 , 104 , 113
20:40 , 106 , 114
20:45 , 104 , 114
20:50 , 103 , 115
20:55 , 101 , 112
21:00 , 102 , 110
21:05 , 101 , 112
21:10 , 101 , 112
21:15 , 98 , 114
21:20 , 99 , 112
21:25 , 102 , 109
21:30 , 100 , 112
21:35 , 97 , 109
21:40 , 94 , 112
21:45 , 94 , 109
21:50 , 95 , 111
21:55 , 93 , 113
22:00 , 95 , 116
22:05 , 95 , 115
22:10 , 97 , 116
22:15 , 94 , 119
22:20 , 91 , 120
22:25 , 92 , 123
22:30 , 93 , 126
22:35 , 90 , 125
22:40 , 88 , 126
22:45 , 88 , 129
22:50 , 90 , 128
22:55 , 91 , 129
23:00 , 91 , 132
23:05 , 94 , 132
23:10 , 95 , 133
23:15 , 92 , 136
23:20 , 92 , 137
23:25 , 93 , 135
23:30 , 95 , 136
23:35 , 95 , 138
23:40 , 95 , 137
23:45 , 94 , 136
23:50 , 93 , 138
23:55 , 93 , 139
0:00 , 94 , 136
0:05 , 93 , 135
0:10 , 95 , 135
0:15 , 95 , 136
0:20 , 97 , 134
0:25 , 99 , 137
0:30 , 98 , 134
0:35 , 101 , 131
0:40 , 104 , 129
0:45 , 104 , 127
0:50 , 101 , 125
0:55 , 103 , 128
1:00 , 104 , 128
1:05 , 104 , 126
1:10 , 101 , 123
1:15 , 104 , 123
1:20 , 105 , 121
1:25 , 102 , 121
1:30 , 103 , 123
1:35 , 103 , 125
1:40 , 104 , 123
1:45 , 105 , 123
1:50 , 108 , 125
1:55 , 108 , 126
2:00 , 110 , 123
2:05 , 113 , 120
2:10 , 111 , 121
2:15 , 112 , 120
2:20 , 113 , 121
2:25 , 112 , 124
2:30 , 110 , 125
2:35 , 108 , 128
2:40 , 107 , 128
2:45 , 104 , 130
2:50 , 102 , 132
2:55 , 104 , 135
3:00 , 107 , 135
3:05 , 104 , 132
3:10 , 102 , 130
3:15 , 105 , 129
3:20 , 104 , 127
3:25 , 105 , 129
3:30 , 108 , 130
3:35 , 108 , 130
3:40 , 110 , 128
3:45 , 113 , 125
3:50 , 112 , 128
3:55 , 109 , 127
4:00 , 111 , 130
4:05 , 113 , 129
4:10 , 114 , 131
4:15 , 113 , 130
4:20 , 112 , 127
4:25 , 113 , 129
4:30 , 114 , 132
4:35 , 113 , 131
4:40 , 112 , 134
4:45 , 114 , 131
4:50 , 113 , 134
4:55 , 115 , 137
5:00 , 116 , 134
5:05 , 113 , 137
5:10 , 116 , 139
5:15 , 117 , 141
5:20 , 115 , 139
5:25 , 118 , 138
5:30 , 118 , 138
5:35 , 118 , 141
5:40 , 121 , 144
5:45 , 122 , 145
5:50 , 123 , 147
5:55 , 121 , 149
6:00 , 123 , 148
6:05 , 120 , 150
6:10 , 121 , 152
6:15 , 124 , 150
6:20 , 125 , 151
6:25 , 127 , 149
6:30 , 129 , 146
6:35 , 132 , 143
6:40 , 130 , 142
6:45 , 129 , 143
6:50 , 126 , 140
6:55 , 125 , 140
7:00 , 124 , 139
7:05 , 123 , 136
7:10 , 120 , 137
7:15 , 121 , 140
7:20 , 124 , 143
7:25 , 126 , 143
7:30 , 126 , 144
7:35 , 129 , 147
7:40 , 129 , 149
7:45 , 131 , 146
7:50 , 130 , 146
7:55 , 131 , 143
8:00 , 131 , 143
8:05 , 132 , 140
8:10 , 130 , 143
8:15 , 129 , 140
8:20 , 126 , 141
8:25 , 129 , 140
8:30 , 127 , 143
8:35 , 124 , 142
8:40 , 127 , 139
8:45 , 127 , 136
8:50 , 128 , 137
8:55 , 130 , 136
9:00 , 128 , 137
9:05 , 127 , 135
9:10 , 124 , 138
9:15 , 127 , 138
9:20 , 125 , 138
9:25 , 123 , 136
9:30 , 124 , 138
9:35 , 123 , 138
9:40 , 125 , 139
9:45 , 124 , 139
9:50 , 123 , 139
9:55 , 120 , 137
10:00 , 122 , 135
10:05 , 125 , 138
10:10 , 128 , 135
10:15 , 130 , 138
10:20 , 129 , 135
10:25 , 131 , 133
10:30 , 128 , 135
10:35 , 129 , 137
10:40 , 130 , 135
10:45 , 128 , 138
10:50 , 125 , 140
10:55 , 127 , 140
11:00 , 127 , 140
11:05 , 129 , 141
11:10 , 132 , 141
11:15 , 132 , 144
11:20 , 134 , 141
11:25 , 131 , 140
11:30 , 131 , 140
11:35 , 134 , 138
11:40 , 131 , 138
11:45 , 134 , 137
11:50 , 132 , 135
11:55 , 132 , 133
12:00 , 129 , 132
12:05 , 126 , 133
12:10 , 126 , 135
12:15 , 127 , 134
12:20 , 124 , 132
12:25 , 124 , 133
12:30 , 121 , 136
12:35 , 124 , 139
12:40 , 125 , 142
12:45 , 126 , 143
12:50 , 128 , 142
12:55 , 129 , 141
13:00 , 128 , 141
13:05 , 125 , 144
13:10 , 122 , 142
13:15 , 123 , 139
13:20 , 122 , 136
13:25 , 119 , 138
13:30 , 117 , 141
13:35 , 118 , 141
13:40 , 121 , 139
13:45 , 118 , 139
13:50 , 117 , 137
13:55 , 119 , 135
14:00 , 116 , 132
14:05 , 116 , 134
14:10 , 116 , 136
14:15 , 114 , 133
14:20 , 111 , 135
14:25 , 114 , 137
14:30 , 114 , 138
14:35 , 117 , 140
14:40 , 118 , 139
14:45 , 120 , 136
14:50 , 117 , 138
14:55 , 118 , 139
15:00 , 118 , 141
15:05 , 116 , 142
15:10 , 113 , 141
15:15 , 111 , 140
15:20 , 109 , 141
15:25 , 107 , 141
15:30 , 110 , 141
15:35 , 107 , 140
15:40 , 104 , 138
15:45 , 103 , 136
15:50 , 103 , 135
15:55 , 104 , 135
16:00 , 101 , 135
16:05 , 102 , 137
16:10 , 103 , 138
16:15 , 103 , 137
16:20 , 104 , 135
16:25 , 101 , 132
16:30 , 99 , 129
16:35 , 102 , 130
16:40 , 100 , 128
16:45 , 99 , 127
16:50 , 97 , 127
16:55 , 98 , 124
17:00 , 100 , 124
17:05 , 98 , 124
17:10 , 99 , 126
17:15 , 97 , 125
17:20 , 99 , 126
17:25 , 100 , 128
17:30 , 103 , 127
17:35 , 100 , 125
17:40 , 98 , 128
17:45 , 97 , 131
17:50 , 96 , 129
17:55 , 97 , 130
18:00 , 99 , 132
18:05 , 96 , 135
18:10 , 97 , 137
18:15 , 99 , 140
18:20 , 100 , 140
18:25 , 102 , 138
18:30 , 104 , 135
18:35 , 103 , 136
18:40 , 100 , 136
18:45 , 97 , 133
18:50 , 99 , 130
18:55 , 101 , 132
19:00 , 103 , 129
19:05 , 100 , 131
19:10 , 98 , 133
19:15 , 96 , 136
19:20 , 96 , 137
19:25 , 96 , 138
19:30 , 95 , 135
19:35 , 97 , 134
19:40 , 95 , 136
19:45 , 95 , 136
19:50 , 92 , 137
19:55 , 91 , 140
20:00 , 93 , 138
20:05 , 91 , 139
20:10 , 89 , 138
20:15 , 86 , 138
20:20 , 88 , 141
20:25 , 88 , 143
20:30 , 91 , 140
20:35 , 90 , 140
20:40 , 91 , 141
20:45 , 93 , 143
20:50 , 92 , 141
20:55 , 89 , 143
21:00 , 90 , 141
21:05 , 88 , 143
21:10 , 91 , 146
21:15 , 93 , 144
21:20 , 96 , 147
21:25 , 99 , 148
21:30 , 97 , 147
21:35 , 100 , 145
21:40 , 101 , 148
21:45 , 101 , 146
21:50 , 104 , 145
21:55 , 106 , 147
22:00 , 105 , 144
22:05 , 104 , 142
22:10 , 105 , 139
22:15 , 102 , 139
22:20 , 101 , 140
22:25 , 102 , 140
22:30 , 105 , 140
22:35 , 108 , 139
22:40 , 107 , 142
22:45 , 104 , 142
22:50 , 105 , 139
22:55 , 106 , 142
23:00 , 105 , 139
23:05 , 107 , 140
23:10 , 104 , 140
23:15 , 105 , 140
23:20 , 104 , 143
23:25 , 107 , 141
23:30 , 109 , 139
23:35 , 108 , 138
23:40 , 108 , 138
23:45 , 105 , 139
23:50 , 107 , 137
23:55 , 108 , 139
0:00 , 109 , 140
0:05 , 106 , 137
0:10 , 104 , 135
0:15 , 107 , 137
0:20 , 105 , 134
0:25 , 104 , 134
0:30 , 102 , 136
0:35 , 99 , 135
0:40 , 96 , 134
0:45 , 94 , 137
0:50 , 95 , 136
0:55 , 95 , 136
1:00 , 94 , 139
1:05 , 94 , 138
1:10 , 97 , 135
1:15 , 94 , 136
1:20 , 92 , 135
1:25 , 95 , 132
1:30 , 95 , 130
1:35 , 98 , 133
1:40 , 95 , 134
1:45 , 96 , 136
1:50 , 93 , 135
1:55 , 95 , 136
2:00 , 93 , 139
2:05 , 94 , 137
2:10 , 97 , 135
2:15 , 99 , 137
2:20 , 98 , 140
2:25 , 101 , 137
2:30 , 101 , 134
2:35 , 98 , 135
2:40 , 97 , 132
2:45 , 96 , 133
2:50 , 93 , 132
2:55 , 93 , 132
3:00 , 96 , 134
3:05 , 94 , 136
3:10 , 95 , 134
3:15 , 97 , 135
3:20 , 97 , 137
3:25 , 94 , 139
3:30 , 97 , 137
3:35 , 99 , 134
3:40 , 102 , 134
3:45 , 105 , 135
3:50 , 103 , 134
3:55 , 100 , 132
4:00 , 100 , 129
4:05 , 100 , 132
4:10 , 103 , 135
4:15 , 101 , 138
4:20 , 102 , 139
4:25 , 100 , 136
4:30 , 103 , 135
4:35 , 100 , 133
4:40 , 98 , 135
4:45 , 98 , 132
4:50 , 101 , 134
4:55 , 100 , 136
5:00 , 98 , 138
5:05 , 96 , 135
5:10 , 94 , 137
5:15 , 96 , 138
5:20 , 96 , 138
5:25 , 94 , 136
5:30 , 95 , 136
5:35 , 96 , 136
5:40 , 96 , 135
5:45 , 95 , 138
